email,first_name,last_name,company,store_type,city,state,website,notes
,,,"Portland Food Co-op",coop,Portland,ME,,Natural Food Store/Co-op - high volume potential
,,,"Morning Glory Natural Foods",coop,Brunswick,ME,,Family-owned independent with Health & Beauty section
,,,"A&B Naturals",coop,Bar Harbor,ME,,Hub for natural living in major tourist destination
,,,"Royal River Natural Foods",coop,Freeport,ME,,Large natural/organic health and beauty selection
,,,"Minka",boutique,Kennebunkport,ME,,Curated boutique for natural and handmade home/body goods
,,,"New Morning Natural Foods",coop,Kennebunk,ME,,Extensive body care section and unique gift area
,,,"Rising Tide Co-op",coop,Damariscotta,ME,,Strong focus on high-quality body care products
,,,"Good Tern Co-op",coop,Rockland,ME,,Wellness dept prioritizes organic and locally-sourced
,,,"Belfast Community Co-op",coop,Belfast,ME,,Full-service market with strong wellness department
,,,"The Green Store",boutique,Belfast,ME,,Environmentally responsible goods from small businesses
,,,"Cambridge Naturals",apothecary,Cambridge,MA,,Long-standing family-owned clean body care store
,,,"Sustain Boutique + Chandlery",apothecary,Newburyport,MA,,Handcrafted candles and fragrance; high-end natural body care
,,,"Crose Nest",apothecary,Hudson,MA,,Small-batch botanical products and wellness blends
,,,"Red Antler Apothecary",apothecary,Salem,MA,,Artisanal bath/body products
,,,"Mrs. Mekler's Mercantile",boutique,South Shore,MA,,Curates high-quality local artisan products
,,,"Florapothecarie",apothecary,,CT,,Small-batch 100% natural and vegan beauty products
,,,"Its Only Natural Market",coop,Middletown,CT,,Supports local farms; natural beauty and wellness
,,,"Gracious Gifts and Home",boutique,Branford,CT,,Curates unique gifts; aromatherapy and home goods
,,,"The Rooted Plow",boutique,Ridgefield,CT,,Handpicked gifts inspired by New England
,,,"FoodWorks Natural Market",coop,Guilford,CT,,Local hub for clean living; natural beauty
,,,"janegee",apothecary,Portsmouth,NH,janegee.com,Mother-daughter women-led boutique; has wholesale program
,,,"Nahcotta",boutique,Portsmouth,NH,nahcotta.com,Carries artisan candles reed diffusers and body care
,,,"Natura Realms",apothecary,Amherst,NH,naturarealms.com,Herbal apothecary with Local Vendor Application
,,,"The Apothecary NH",apothecary,Peterborough,NH,,Boutique section with non-toxic gifts
,,,"Monadnock Food Co-op",coop,Keene,NH,,NH Business of the Year 2024
,,,"Rising Tides Apothecary",apothecary,Warren,RI,,Clean beauty apothecary with Partner Submissions page
,,,"Craftland",boutique,Providence,RI,craftland.com,Premier independent maker showcase; active vendor app
,,,"Rhody Craft",boutique,Providence,RI,,All-natural bath and body products from regional makers
,,,"Beauty and the Bath",apothecary,Wickford,RI,,Dedicated natural soaps and body care
,,,"Homestyle",boutique,Providence,RI,,Downtown gift shop; locally made candles
,Katchen,,"Liebling",boutique,Burlington,VT,lieblingvt.com,Curated European-inspired aesthetic
,Robin,,"Pearl",boutique,Burlington,VT,pearlvt.com,Values-aligned; loves natural artisan goods
,Nell,Soper,"Monelle Vermont",boutique,Shelburne,VT,monellevermont.com,Boutique-meets-gift shop
,Lisa,Reisner,"Someday Boutique",boutique,Waitsfield,VT,someday-boutique.com,Curated boutique in ski country
,Samantha,Sleeper,"Jane Boutique",boutique,Williston,VT,shop-janeboutique.com,Newer boutique est. 2025; still building product mix
,Nick,Cavanaugh,"Railyard Apothecary",apothecary,Burlington,VT,railyardapothecary.com,Employee-owned herbal apothecary
,Lyndsay,Rose,"Z Botanicals Apothecary",apothecary,Hartland,VT,zbotanicals.net,Farm-based herbal sanctuary
,Leyla,Bringas,"Lunaroma Aromatic Apothecary",apothecary,Burlington,VT,lunaroma.com,Fragrance and aromatics expert
reachus@three-buds.com,Jenn,,"Three Buds Apothecary",apothecary,Waitsfield,VT,three-buds.com,Woman-owned candle and botanical skincare; email only
,Michael,Hughes,"Commodities Natural Market",coop,Stowe,VT,commoditiesnaturalmarket.com,High-traffic ski resort town
,,,"Hunger Mountain Co-op",coop,Montpelier,VT,hungermountain.coop,10000+ members; ask for Wellness buyer
,,,"Green Mountain Natural Foods",coop,Newport,VT,greenmountainnaturalfoods.com,60-year community institution
,Ashley,Cleare,"Rail City Market",coop,Saint Albans,VT,railcitymarketvt.com,Revitalized community market
,Daiki,Hirano,"Rhapsody Natural Foods",coop,Cabot,VT,rhapsodynaturalfoods.com,Small rural natural foods store
,,,"Flossie's General Store",boutique,Jackson,NH,flossiesgeneralstore.com,Classic White Mountains gift shop
,Heather,Chase,"The Local Grocer",coop,North Conway,NH,,Eco-conscious grocer in tourist town
,Paul,Flynn,"Hampton Natural Foods",coop,Hampton,NH,hamptonnaturalfoods.com,Long-standing NH natural foods est. 1984
,,,"Wolfeboro Food Coop",coop,Wolfeboro,NH,wolfeborocoop.org,Member-owned co-op on Lake Winnipesaukee
,,,"Granite State Naturals",coop,Concord,NH,granitestatenaturals.com,Family-owned 50+ years
,Rebecca,Lynn,"Iridescent Apothecary",apothecary,Manchester,NH,iridescentapothecary.com,Owner-operator apothecary
,,,"Blue Balsam Apothecary",apothecary,Lisbon,NH,bluebalsamapothecary.com,Northern NH; close to ADK territory
,Scott,Neild,"Clove & Creek",apothecary,Hudson,NY,cloveandcreek.com,Highly curated Hudson Valley; email or Faire only
,Brendan,Weiden,"Catskills Curated",boutique,Narrowsburg,NY,catskillscurated.com,Artisan-focused gift shop
,Melissa,Misra,"Sunflower Market",coop,Woodstock,NY,sunflowernatural.com,Family-owned Woodstock institution
,Jennifer,Lamb,"Menges & Curtis",apothecary,Saratoga Springs,NY,mengesandcurtis.com,Historic 150+ year old apothecary
